Date;Open;High;Low;Close;Shares Traded;Turnover (Rs. Cr)
01-Jul-2020;    10323.80;    10447.05;    10299.60;    10430.05;573550127;        28736.28
02-Jul-2020;    10493.05;    10598.20;    10485.55;    10551.70;597423931;        31235.17
03-Jul-2020;    10614.95;    10631.30;    10562.65;    10607.35;525190704;        25186.39
06-Jul-2020;    10723.85;    10811.40;    10695.10;    10763.65;571212914;        29857.54
07-Jul-2020;    10802.85;    10813.80;    10689.70;    10799.65;636764929;        36502.37
08-Jul-2020;    10818.65;    10847.85;    10676.55;    10705.75;767941333;        37676.34
09-Jul-2020;    10755.55;    10836.85;    10733.00;    10813.45;618652409;        31315.87
10-Jul-2020;    10764.10;    10819.40;    10713.00;    10768.05;590705425;        31557.58
13-Jul-2020;    10851.85;    10894.05;    10756.05;    10802.70;554050579;        30606.30
14-Jul-2020;    10750.85;    10755.65;    10562.90;    10607.35;532368699;        30902.47
15-Jul-2020;    10701.00;    10827.45;    10577.75;    10618.20;715901258;        42376.03
16-Jul-2020;    10706.20;    10755.30;    10595.20;    10739.95;694402635;        41453.95
17-Jul-2020;    10752.00;    10933.45;    10749.65;    10901.70;676881092;        35592.83
20-Jul-2020;    10999.45;    11037.90;    10953.00;    11022.20;554306867;        32738.64
21-Jul-2020;    11126.10;    11179.55;    11113.25;    11162.25;771998838;        42461.89
22-Jul-2020;    11231.20;    11238.10;    11056.55;    11132.60;765074288;        41068.72
23-Jul-2020;    11135.00;    11239.80;    11103.15;    11215.45;621575333;        32744.93
24-Jul-2020;    11149.95;    11225.40;    11090.30;    11194.15;678935175;        40217.17
27-Jul-2020;    11225.00;    11225.00;    11087.85;    11131.80;588148687;        34539.73
28-Jul-2020;    11154.10;    11317.75;    11151.40;    11300.55;683891350;        38677.47
29-Jul-2020;    11276.90;    11341.40;    11149.75;    11202.85;600726301;        38726.02
30-Jul-2020;    11254.30;    11299.95;    11084.95;    11102.15;677761342;        39150.44
31-Jul-2020;    11139.50;    11150.40;    11026.65;    11073.45;642560311;        36220.09
03-Aug-2020;    11057.55;    11058.05;    10882.25;    10891.60;680929323;        31149.94
04-Aug-2020;    10946.65;    11112.25;    10908.10;    11095.25;625738313;        35357.96
05-Aug-2020;    11155.75;    11225.65;    11064.05;    11101.65;667639446;        34894.58
06-Aug-2020;    11185.70;    11256.80;    11127.30;    11200.15;600374615;        31501.08
07-Aug-2020;    11186.65;    11231.90;    11142.05;    11214.05;452629891;        27054.43
10-Aug-2020;    11270.25;    11337.30;    11238.00;    11270.15;491999534;        29108.25
11-Aug-2020;    11322.25;    11373.60;    11299.15;    11322.50;586084846;        30314.89
12-Aug-2020;    11289.00;    11322.00;    11242.65;    11308.40;609858960;        28088.09
13-Aug-2020;    11334.85;    11359.30;    11269.95;    11300.45;562355175;        26500.52
14-Aug-2020;    11353.30;    11366.25;    11111.45;    11178.40;645109756;        31059.23
17-Aug-2020;    11248.90;    11267.10;    11144.50;    11247.10;633963958;        27468.67
18-Aug-2020;    11259.80;    11401.70;    11253.15;    11385.35;579242492;        27267.51
19-Aug-2020;    11452.15;    11460.35;    11394.10;    11408.40;626217997;        27528.12
20-Aug-2020;    11317.45;    11361.45;    11289.80;    11312.20;791587770;        27676.18
21-Aug-2020;    11409.65;    11418.50;    11362.20;    11371.60;668719170;        26294.26
24-Aug-2020;    11412.00;    11497.25;    11410.65;    11466.45;532900535;        28920.84
25-Aug-2020;    11513.10;    11525.90;    11423.35;    11472.25;638152608;        28742.82
26-Aug-2020;    11512.85;    11561.75;    11461.85;    11549.60;743442521;        34852.01
27-Aug-2020;    11609.30;    11617.35;    11540.60;    11559.25;719776490;        31580.61
28-Aug-2020;    11602.95;    11686.05;    11589.40;    11647.60;806997707;        39349.92
31-Aug-2020;    11777.55;    11794.25;    11325.85;    11387.50;1371789450;        61668.55
01-Sep-2020;    11464.30;    11553.55;    11366.90;    11470.25;783769555;        36752.54
02-Sep-2020;    11478.55;    11554.75;    11430.40;    11535.00;593494423;        27454.65
03-Sep-2020;    11566.20;    11584.95;    11507.65;    11527.45;607115212;        26868.26
04-Sep-2020;    11354.40;    11452.05;    11303.65;    11333.85;681338905;        31746.86
07-Sep-2020;    11359.60;    11381.15;    11251.70;    11355.05;560322964;        25959.82
08-Sep-2020;    11378.55;    11437.25;    11290.45;    11317.35;572239350;        27979.70
09-Sep-2020;    11218.60;    11298.15;    11185.15;    11278.00;728880693;        32660.67
10-Sep-2020;    11363.30;    11464.05;    11327.40;    11449.25;679419973;        39239.10
11-Sep-2020;    11447.80;    11493.50;    11419.90;    11464.45;554789157;        29614.09
14-Sep-2020;    11540.15;    11568.90;    11383.55;    11440.05;642270123;        33996.94
15-Sep-2020;    11487.20;    11535.95;    11442.25;    11521.80;506667239;        28054.51
16-Sep-2020;    11538.45;    11618.10;    11516.75;    11604.55;527804775;        27629.71
17-Sep-2020;    11539.40;    11587.20;    11498.50;    11516.10;517729494;        29674.95
18-Sep-2020;    11584.10;    11584.10;    11446.10;    11504.95;764154094;        48698.68
21-Sep-2020;    11503.80;    11535.25;    11218.50;    11250.55;602851737;        37213.23
22-Sep-2020;    11301.75;    11302.20;    11084.65;    11153.65;672249921;        36296.49
23-Sep-2020;    11258.75;    11259.55;    11024.40;    11131.85;714925847;        35542.98
24-Sep-2020;    11011.00;    11015.30;    10790.20;    10805.55;706139506;        33623.71
25-Sep-2020;    10910.40;    11072.60;    10854.85;    11050.25;559597322;        31122.18
28-Sep-2020;    11140.85;    11239.35;    11099.85;    11227.55;472777324;        24361.17
29-Sep-2020;    11288.60;    11305.40;    11181.00;    11222.40;498295735;        26875.14
30-Sep-2020;    11244.45;    11295.40;    11184.55;    11247.55;499343849;        28134.77
01-Oct-2020;    11364.45;    11428.60;    11347.05;    11416.95;447740006;        26212.72
05-Oct-2020;    11487.80;    11578.05;    11452.30;    11503.35;530597393;        31341.55
06-Oct-2020;    11603.45;    11680.30;    11564.30;    11662.40;561444728;        30373.65
07-Oct-2020;    11679.25;    11763.05;    11629.35;    11738.85;513367516;        32935.98
08-Oct-2020;    11835.40;    11905.70;    11791.15;    11834.60;608768573;        38677.49
09-Oct-2020;    11852.05;    11938.60;    11805.20;    11914.20;611079482;        34546.80
12-Oct-2020;    11973.55;    12022.05;    11867.20;    11930.95;522627571;        26586.47
13-Oct-2020;    11934.65;    11988.20;    11888.90;    11934.50;458304851;        29403.22
14-Oct-2020;    11917.40;    11997.20;    11822.15;    11971.05;569245407;        29940.62
15-Oct-2020;    12023.45;    12025.45;    11661.30;    11680.35;608865041;        35175.92
16-Oct-2020;    11727.40;    11789.75;    11667.85;    11762.45;555764762;        30439.19
19-Oct-2020;    11879.20;    11898.25;    11820.40;    11873.05;541420990;        29888.60
20-Oct-2020;    11861.00;    11949.25;    11837.25;    11896.80;453560934;        28367.34
21-Oct-2020;    11958.55;    12018.65;    11775.75;    11937.65;623658140;        37477.13
22-Oct-2020;    11890.00;    11939.55;    11823.45;    11896.45;544901152;        33013.17
23-Oct-2020;    11957.90;    11974.55;    11908.75;    11930.35;502340361;        27424.61
26-Oct-2020;    11937.40;    11942.85;    11711.70;    11767.75;519815905;        29316.02
27-Oct-2020;    11807.10;    11899.05;    11723.00;    11889.40;616318543;        37989.97
28-Oct-2020;    11922.60;    11929.40;    11684.85;    11729.60;704018608;        37025.89
29-Oct-2020;    11633.30;    11744.15;    11606.45;    11670.80;554959844;        30436.62
30-Oct-2020;    11678.45;    11748.95;    11535.45;    11642.40;553672805;        28151.58
02-Nov-2020;    11697.35;    11725.65;    11557.40;    11669.15;568434165;        35714.57
